Name,Court,Position,Biodata,DOB,City_Village_Birth,District_Birth,State_Birth,Start_Date_Appointment,End_Date_Appointment,Reason_Leaving_Appointment,Sex_Source,Sex,ID,Source_of_Recruitment,Enrollment_Year,LLB_Institutition,Other_Bachelors_Institution,Other_Bachelors_Degree,Other_Masters_Degree,Other_Masters_Institution,LLM_Institutition,PhD_Instituition,PhD_Subject,Processed_Name_For_Merges,Image,Duplicated_Jud
Justice J D Jain,Delhi High Court,Additional Judge,"Justice Jagmandar Dass Jain, B.A., LL.B-Born on 21.3.1924. Joined the P.C.S (Judicial Branch) on 4.8.1950 as Sub Judge at Amritsar. Posted at various stations in Punjab upto 1961. Remained on deputation with Government of India. Ministry of Rehabilitation from 1961-1966, first as Competent Officer for the State of Madhya Pradesh, Orissa and union Territory of Delhi and thereafter as Regional Settlement Commissioner, Bombay and Rajasthan. Posted at Delhi as Senior Sub Judge in October, 1966 and was promoted Additional District and Sessions Judge in August, 1967. Absorbed in Delhi Higher judicial Service in 1971 and was given the Selection Grade in that Service in 1972. Appointed Additional Judge Delhi High Court w.e.f. 19.10.1979 AN. Retired on 21.3.1986",21.03.1924,,,,19.10.1979,21.03.1986,Formal Retirement,M,M,1703,SERVICE,,Law (not given),,B. A.,,,,,,J D JAIN,http://delhihighcourt.nic.in/writereaddata/upload/Judges/JImage_PFPXUAHJ.JPG,
Justice J P Singh,Delhi High Court,Judge,"Born on 10th July, 1945. Passed M.A. (Political Science) LL.B. and did Diplomas in Journalism, Constitutional Law, Parliamentary Institutions & Procedure and is Fellow of the Institute of Constitution & Parliamentary Studies. Enrolled as an Advocate with the Bar Council of Delhi in 1969 and started practice in Delhi in the year 1969. Have been practicing mainly on the Civil side, Matrimonial and landlord-tenant disputes in District Courts, Delhi and also practiced in the High Court of Delhi and Supreme Court of India in Writ, Original & Appellate Jurisdiction. Selected as Additional District and Sessions Judge from the Bar in November 1985, made District-cum-Additional Sessions Judge and Incharge Karkardooma Courts, Shahdara, Delhi in August, 2000. Promoted as District and Sessions Judge, Delhi in August 2002 and elevated to the High Court of Delhi in July (5th July, 2004) as Justice, Delhi High Court.Retired with effect from 9th July, 2007.",10.07.1945,,,,05.07.2004,09.07.2007,Formal Retirement,,M,1626,SERVICE,1969,Law (not given),,,M.A. Political Science,,,,,J P SINGH,http://delhihighcourt.nic.in/writereaddata/upload/Judges/JImage_SUR53LA1.JPG,
Justice J. B. Goel,Delhi High Court,Additional Judge,"Enrolled as an Advocate on 18.9.1964 and practised 18 years in District Courts and High Court of Delhi till 9.11.1982. Appointed to Delhi Higher Judicial Service as Additional District & Sessions Judge on 10.11.1982 and worked as such till March, 1985. Appointed Addl.Sessions Judge-cum-Special Judge (under Prevention of Corruption Act) from April, 1985 to 17.7.1986; worked in Appellate Tribunal (Single Person) under Delhi Municipal Corporation Act, 1957 and other Allied Acts (on deputation) from 18.7.1986 to 17.10.1989; worked as Additional Sessions Judge, Delhi from 18.10.1989 to 17.12.1992; as Additional District Judge, Delhi from 18.12.1992 to 9.11.1994 and as District & Sessions Judge, Delhi from 10.11.1994. He was appointed Additional Judge of the Delhi High Court on 17.5.1995 and Permanent Judge on 06.12.1996. Retired on 06.08.2000",,,,,17.05.1995,06.12.1996,Transfer or Promotion,M,M,1660,SERVICE,1964,Law (not given),,,,,,,,J. B. GOEL,http://delhihighcourt.nic.in/writereaddata/upload/Judges/JImage_9RQV0T02.JPG,
Justice J. B. Goel,Delhi High Court,Judge,"Enrolled as an Advocate on 18.9.1964 and practised 18 years in District Courts and High Court of Delhi till 9.11.1982. Appointed to Delhi Higher Judicial Service as Additional District & Sessions Judge on 10.11.1982 and worked as such till March, 1985. Appointed Addl.Sessions Judge-cum-Special Judge (under Prevention of Corruption Act) from April, 1985 to 17.7.1986; worked in Appellate Tribunal (Single Person) under Delhi Municipal Corporation Act, 1957 and other Allied Acts (on deputation) from 18.7.1986 to 17.10.1989; worked as Additional Sessions Judge, Delhi from 18.10.1989 to 17.12.1992; as Additional District Judge, Delhi from 18.12.1992 to 9.11.1994 and as District & Sessions Judge, Delhi from 10.11.1994. He was appointed Additional Judge of the Delhi High Court on 17.5.1995 and Permanent Judge on 06.12.1996. Retired on 06.08.2000",,,,,06.12.1996,06.08.2000,Formal Retirement,M,M,1660,SERVICE,1964,Law (not given),,,,,,,,J. B. GOEL,http://delhihighcourt.nic.in/writereaddata/upload/Judges/JImage_9RQV0T02.JPG,
Justice J. Banerjee,Calcutta High Court,Judge,"The Hon'ble Justice J. Banerjee Former Judge Time Period:05-Jun-2000 to 20-Aug-2005 B.A., LL.B.- Born on 21st August, 1943. Appointed a Munsif as a Member of West Bengal Civil Service Judicial on 15th November, 1968. Appointed in the H.J.S. as C.J.M., Coochbehar on 18th June, 1986. Appointed District & Sessions Judge, Howrah in November, 1994. Appointed as Chief Judge, City Civil & Sessions Court on 13th July, 1999. Appointed as a Judge of the Calcutta High Court on 5th June, 2000. Due to retire on 20th August, 2005.",21.08.1943,,,,05.06.2000,20.08.2005,,,M,4157,SERVICE,,Law (not given),,B. A.,,,,,,J. BANERJEE,https://www.calcuttahighcourt.gov.in/Judge-Photo/134,
Justice J. K. Biswas,Calcutta High Court,Judge,"The Hon'ble Justice J. K. Biswas Former Judge Time Period:05-Feb-2002 to 17-Feb-2015 B.A. LL. B. Born on 17th February, 1953. Enrolled as an advocate on 21st April, 1981. Started practice in civil, criminal, labour and service matters in the Calcutta High Court. Designated as Senior Advocate on 20th April, 2001. Elevated to the Bench as Judge, Calcutta High Court on 5th February, 2002",17.02.1953,,,,05.02.2002,17.02.2015,,,M,4171,BAR,1981,Law (not given),,B. A.,,,,,,J. K. BISWAS,https://www.calcuttahighcourt.gov.in/Judge-Photo/74,
Justice J. K. Mehra,Delhi High Court,Additional Judge,"Justice Jagdish Kumar Mehra, B.L., LL.B. Born on 6.11.1935. Enrolled in 11.09.60 as Pleader and Advocate on 23.2.1952. Practised in Labour and Service Laws, Trade and Merchandise marks Act and Civil Commercial Laws. Appointed Additional Judge of the Delhi High Court from 19.3.1991 and Permanent Judge of the High Court on 03.09.1991. Retired on 06.11.97.",06.11.1935,,,,19.03.1991,03.09.1991,Transfer or Promotion,M,M,1672,BAR,1952,Law (not given),,,,,,,,J. K. MEHRA,http://delhihighcourt.nic.in/writereaddata/upload/Judges/JImage_UV0CKUF3.JPG,
Justice J. K. Mehra,Delhi High Court,Judge,"Justice Jagdish Kumar Mehra, B.L., LL.B. Born on 6.11.1935. Enrolled in 11.09.60 as Pleader and Advocate on 23.2.1952. Practised in Labour and Service Laws, Trade and Merchandise marks Act and Civil Commercial Laws. Appointed Additional Judge of the Delhi High Court from 19.3.1991 and Permanent Judge of the High Court on 03.09.1991. Retired on 06.11.97.",06.11.1935,,,,03.09.1991,06.11.1997,Formal Retirement,M,M,1672,BAR,1952,Law (not given),,,,,,,,J. K. MEHRA,http://delhihighcourt.nic.in/writereaddata/upload/Judges/JImage_UV0CKUF3.JPG,
Justice J. M. Malik,Delhi High Court,Additional Judge,"Born on 18th July, 1946. Did graduation from Punjab University in 1968. Studied law at Punjab University and was enrolled as an Advocate with Bar Council of Punjab & Haryana in 1968. Practised mainly at Kaithal for a period of four years. Thereafter joined Delhi Judicial Services in the year 1972. During this period worked as Magistrate, Sub-Judge, Rent Controller, Additional Chief Metropolitan Magistrate, Customs etc. Promoted to Higher Judicial Services on 17th January 1989. Worked as Special Judge NDPS was the sole Member of Sales Tax Appellate Tribunal on deputation. Worked as Additional District Judge and dealt with the LAC and Civil Cases. Also worked as Sessions Judge, Designated Court of TADA, POTA, MOCCA. Before elevation to the High court as Additional Judge on 28th February 2006, was worked as Judge-in-Charge, Karkardooma Courts. Retired on 17th July, 2008.",18.07.1946,,,,28.02.2006,17.07.2008,Formal Retirement,,M,1623,SERVICE,1968,"Punjab University, Department of Laws, Chandigarh",Punjab University,,,,,,,J. M. MALIK,http://delhihighcourt.nic.in/writereaddata/upload/Judges/JImage_7HX86KTB.JPG,
Justice J. R. Midha,Delhi High Court,Additional Judge,"ustice J.R. Midha was appointed as an Additional Judge of Delhi High Court on 11th April, 2008 and permanent Judge of that Court on 6th July, 2011. Before elevation, Justice Midha had been practicing before the Delhi High Court, Supreme Court, and other Courts/Forums including MRTP Commission, National Consumer Disputes Redressal Commission, etc. Justice Midha was the Standing Counsel Civil of Govt. of NCT of Delhi before the High Court of Delhi from 2006 to March 2008. From 1989 to 1992, Justice Midha was also teaching at Campus Law Centre, Faculty of Law, Delhi University. He taught various subjects including Code of Civil Procedure, Indian Evidence Act, Transfer of Property Act, Delhi Rent Control Act, Limitation Act, Arbitration Act, Motor Vehicles Act, Court Fees Act, Suit Valuation Act, Indian Registration Act and Indian Stamp Act. Justice Midha also compiled the synopsis and case material on the subjects of ""Pleading and Conveyancing"" and ""Motor Accident Compensation"" for the Campus Law Centre. While teaching, Justice Midha organized a Lok Adalat on Motor Accident Compensation in Campus Law Centre in 1991 in which the compensation was computed by the Law students under his guidance and the computation was given to the Lok Adalat Judges in advance to ensure that the claimants get fair and uniform compensation. As a Judge, Justice J.R. Midha has actively initiated judicial reforms to speed up the payment of due compensation to the victims of the road accidents. He has been successful in his efforts to a great extent. The Claims Tribunal Agreed Procedure formulated at his initiative with the consent of all the Insurance Companies and Delhi Police provides that the police shall complete the investigation of a criminal case, collect the entire evidence relating to computation of compensation and file a Detailed Accident Report DAR with the Claims Tribunal within 30 days with a copy to the Insurance Company whereupon the Insurance Company shall compute the compensation and offer the same to the claimant within 30 days thereafter. If the amount offered by the Insurance Company is fair and reasonable, the Claims Tribunal shall pass a consent award and the compensation is paid within 30 days. However, if the amount offered by the Insurance Company is not fair, the Tribunal shall pass an award within 30 days thereafter meaning thereby that the claimants get the compensation within 90 to 120 days. From April, 2010 to July 2012, a total number of 21,830 claims were filed before Motor Accident Claim Tribunals in Delhi out of which, compensation has been awarded to the claimants in terms of the Claims Tribunal Agreed Procedure in 10,762 cases. Justice Midha has written books on Motor Accident Claims Compensation and Amendments to the Code of Civil Procedure. Retired on 07.07.2021",,,,,11.04.2008,06.07.2011,Transfer or Promotion,,M,1559,BAR,,,,,,,,,,J. R. MIDHA,http://delhihighcourt.nic.in/writereaddata/upload/Judges/JImage_4HJBTYUS.JPG,
Justice J. R. Midha,Delhi High Court,Judge,"ustice J.R. Midha was appointed as an Additional Judge of Delhi High Court on 11th April, 2008 and permanent Judge of that Court on 6th July, 2011. Before elevation, Justice Midha had been practicing before the Delhi High Court, Supreme Court, and other Courts/Forums including MRTP Commission, National Consumer Disputes Redressal Commission, etc. Justice Midha was the Standing Counsel Civil of Govt. of NCT of Delhi before the High Court of Delhi from 2006 to March 2008. From 1989 to 1992, Justice Midha was also teaching at Campus Law Centre, Faculty of Law, Delhi University. He taught various subjects including Code of Civil Procedure, Indian Evidence Act, Transfer of Property Act, Delhi Rent Control Act, Limitation Act, Arbitration Act, Motor Vehicles Act, Court Fees Act, Suit Valuation Act, Indian Registration Act and Indian Stamp Act. Justice Midha also compiled the synopsis and case material on the subjects of ""Pleading and Conveyancing"" and ""Motor Accident Compensation"" for the Campus Law Centre. While teaching, Justice Midha organized a Lok Adalat on Motor Accident Compensation in Campus Law Centre in 1991 in which the compensation was computed by the Law students under his guidance and the computation was given to the Lok Adalat Judges in advance to ensure that the claimants get fair and uniform compensation. As a Judge, Justice J.R. Midha has actively initiated judicial reforms to speed up the payment of due compensation to the victims of the road accidents. He has been successful in his efforts to a great extent. The Claims Tribunal Agreed Procedure formulated at his initiative with the consent of all the Insurance Companies and Delhi Police provides that the police shall complete the investigation of a criminal case, collect the entire evidence relating to computation of compensation and file a Detailed Accident Report DAR with the Claims Tribunal within 30 days with a copy to the Insurance Company whereupon the Insurance Company shall compute the compensation and offer the same to the claimant within 30 days thereafter. If the amount offered by the Insurance Company is fair and reasonable, the Claims Tribunal shall pass a consent award and the compensation is paid within 30 days. However, if the amount offered by the Insurance Company is not fair, the Tribunal shall pass an award within 30 days thereafter meaning thereby that the claimants get the compensation within 90 to 120 days. From April, 2010 to July 2012, a total number of 21,830 claims were filed before Motor Accident Claim Tribunals in Delhi out of which, compensation has been awarded to the claimants in terms of the Claims Tribunal Agreed Procedure in 10,762 cases. Justice Midha has written books on Motor Accident Claims Compensation and Amendments to the Code of Civil Procedure. Retired on 07.07.2021",,,,,06.07.2011,07.07.2021,Formal Retirement,,M,1559,BAR,,,,,,,,,,J. R. MIDHA,http://delhihighcourt.nic.in/writereaddata/upload/Judges/JImage_4HJBTYUS.JPG,
Justice Jagannath Mohanty,Odisha High Court,Judge,Judge of Orissa High Court : 23.4.1953 - 3.1.1954,,,,,23.04.1953,03.01.1954,,M,M,3022,,,Law (not given),,,,,,,,JAGANNATH MOHANTY,,
Justice Jagdish Bhalla,Allahabad High Court,Judge,"Justice Jagdish Bhalla Born on 1st November, 1948, to an eminent physician who retired as The Chief Medical Officer. Had schooling at Nainital. After post-graduation, studied Law in Lucknow University and obtained Law degree in the year 1971. Enrolled as an Advocate in the Bar Council of Allahabad on 11th November, 1971 and practiced law in the Lucknow Bench of The Allahabad High Court mainly in Constitutional, Service, Civil, Arbitration and Criminal matters.Had specialization in Constitutional, Service and Contempt of Court cases. Was appointed as Special Counsel of the Government of Uttar Pradesh in 1978 and Standing Counsel for the State in 1983. Was Honorary Head of the Department, Faculty of Law, DAV College Lucknow. Was appointed as a Judge of The Allahabad High Court on 5th April, 1995. Was a Member of the Executive Council of Lucknow University and also a Member of Executive Council of King George's Medical and Dental Universities.Worked as Chairman of La Martiniere College, Lucknow and was Chairman of the U.P. Advisory Board (Preventive Detentions). Loved playing Cricket and Golf and was associated with U.P. Cricket Association. Appointed on transfer as a Judge and the Acting Chief Justice of Chhattisgarh High Court and assumed office on 19th May, 2007. Appointed as the Chief Justice of The High Court of Himachal Pradesh and assumed office on 2nd February, 2008. Transferred and assumed the office of the Chief Justice of The High Court of Rajasthan on and with effect 10th August, 2009. Retired on 31st October, 2010 on attaining the age of superannuation.",01.11.1948,,,,05.04.1995,19.05.2007,Temporary Position,,M,4362,BAR,1971,Lucknow University,,,,,,,,JAGDISH BHALLA,https://hphighcourt.nic.in/assets/img/judges/formercj/jagdishbhalla.jpg,TRUE
Justice Jagdish Bhalla,Chhattisgarh High Court,Acting Chief Justice,"Justice Jagdish Bhalla Born on 1st November, 1948, to an eminent physician who retired as The Chief Medical Officer. Had schooling at Nainital. After post-graduation, studied Law in Lucknow University and obtained Law degree in the year 1971. Enrolled as an Advocate in the Bar Council of Allahabad on 11th November, 1971 and practiced law in the Lucknow Bench of The Allahabad High Court mainly in Constitutional, Service, Civil, Arbitration and Criminal matters.Had specialization in Constitutional, Service and Contempt of Court cases. Was appointed as Special Counsel of the Government of Uttar Pradesh in 1978 and Standing Counsel for the State in 1983. Was Honorary Head of the Department, Faculty of Law, DAV College Lucknow. Was appointed as a Judge of The Allahabad High Court on 5th April, 1995. Was a Member of the Executive Council of Lucknow University and also a Member of Executive Council of King George's Medical and Dental Universities.Worked as Chairman of La Martiniere College, Lucknow and was Chairman of the U.P. Advisory Board (Preventive Detentions). Loved playing Cricket and Golf and was associated with U.P. Cricket Association. Appointed on transfer as a Judge and the Acting Chief Justice of Chhattisgarh High Court and assumed office on 19th May, 2007. Appointed as the Chief Justice of The High Court of Himachal Pradesh and assumed office on 2nd February, 2008. Transferred and assumed the office of the Chief Justice of The High Court of Rajasthan on and with effect 10th August, 2009. Retired on 31st October, 2010 on attaining the age of superannuation.",01.11.1948,,,,19.05.2007,02.02.2008,Transfer or Promotion,,M,4362,BAR,1971,Lucknow University,,,,,,,,JAGDISH BHALLA,https://hphighcourt.nic.in/assets/img/judges/formercj/jagdishbhalla.jpg,TRUE
Justice Jagdish Bhalla,Himachal Pradesh High Court,Chief Justice,"Justice Jagdish Bhalla Born on 1st November, 1948, to an eminent physician who retired as The Chief Medical Officer. Had schooling at Nainital. After post-graduation, studied Law in Lucknow University and obtained Law degree in the year 1971. Enrolled as an Advocate in the Bar Council of Allahabad on 11th November, 1971 and practiced law in the Lucknow Bench of The Allahabad High Court mainly in Constitutional, Service, Civil, Arbitration and Criminal matters.Had specialization in Constitutional, Service and Contempt of Court cases. Was appointed as Special Counsel of the Government of Uttar Pradesh in 1978 and Standing Counsel for the State in 1983. Was Honorary Head of the Department, Faculty of Law, DAV College Lucknow. Was appointed as a Judge of The Allahabad High Court on 5th April, 1995. Was a Member of the Executive Council of Lucknow University and also a Member of Executive Council of King George's Medical and Dental Universities.Worked as Chairman of La Martiniere College, Lucknow and was Chairman of the U.P. Advisory Board (Preventive Detentions). Loved playing Cricket and Golf and was associated with U.P. Cricket Association. Appointed on transfer as a Judge and the Acting Chief Justice of Chhattisgarh High Court and assumed office on 19th May, 2007. Appointed as the Chief Justice of The High Court of Himachal Pradesh and assumed office on 2nd February, 2008. Transferred and assumed the office of the Chief Justice of The High Court of Rajasthan on and with effect 10th August, 2009. Retired on 31st October, 2010 on attaining the age of superannuation.",01.11.1948,,,,02.02.2008,10.08.2009,Transfer or Promotion,,M,4362,BAR,1971,Lucknow University,,,,,,,,JAGDISH BHALLA,https://hphighcourt.nic.in/assets/img/judges/formercj/jagdishbhalla.jpg,
Justice Jagdish Bhalla,Rajasthan High Court,Chief Justice,"Justice Jagdish Bhalla Born on 1st November, 1948, to an eminent physician who retired as The Chief Medical Officer. Had schooling at Nainital. After post-graduation, studied Law in Lucknow University and obtained Law degree in the year 1971. Enrolled as an Advocate in the Bar Council of Allahabad on 11th November, 1971 and practiced law in the Lucknow Bench of The Allahabad High Court mainly in Constitutional, Service, Civil, Arbitration and Criminal matters.Had specialization in Constitutional, Service and Contempt of Court cases. Was appointed as Special Counsel of the Government of Uttar Pradesh in 1978 and Standing Counsel for the State in 1983. Was Honorary Head of the Department, Faculty of Law, DAV College Lucknow. Was appointed as a Judge of The Allahabad High Court on 5th April, 1995. Was a Member of the Executive Council of Lucknow University and also a Member of Executive Council of King George's Medical and Dental Universities.Worked as Chairman of La Martiniere College, Lucknow and was Chairman of the U.P. Advisory Board (Preventive Detentions). Loved playing Cricket and Golf and was associated with U.P. Cricket Association. Appointed on transfer as a Judge and the Acting Chief Justice of Chhattisgarh High Court and assumed office on 19th May, 2007. Appointed as the Chief Justice of The High Court of Himachal Pradesh and assumed office on 2nd February, 2008. Transferred and assumed the office of the Chief Justice of The High Court of Rajasthan on and with effect 10th August, 2009. Retired on 31st October, 2010 on attaining the age of superannuation.",01.11.1948,,,,10.08.2009,31.10.2010,Formal Retirement,,M,4362,BAR,1971,Lucknow University,,,,,,,,JAGDISH BHALLA,https://hphighcourt.nic.in/assets/img/judges/formercj/jagdishbhalla.jpg,
Justice Jagdish Chandra,Delhi High Court,Additional Judge,"Justice Jagdish Chandra, B.A., LL.B. - Born on 8th November, 1926. Practised at Amritsar from 1950 to September, 1953 joined Punjab Civil ServiceJudicial on 19-10-1953, entered DHJS on 25-11-69. Appointed District and Sessions Judge on 6-1-1981. Appointed Additional Judge of the Delhi High Court for a period of two years with effect from 12th August, 1983. Appointed Permanent Judge on 23-2-1984. Retired on 8-11-88.",08.11.1926,,,,12.08.1983,23.02.1984,Transfer or Promotion,M,M,1697,SERVICE,,Law (not given),,B. A.,,,,,,JAGDISH CHANDRA,http://delhihighcourt.nic.in/writereaddata/upload/Judges/JImage_W7B5W0WZ.JPG,
Justice Jagdish Chandra,Delhi High Court,Judge,"Justice Jagdish Chandra, B.A., LL.B. - Born on 8th November, 1926. Practised at Amritsar from 1950 to September, 1953 joined Punjab Civil ServiceJudicial on 19-10-1953, entered DHJS on 25-11-69. Appointed District and Sessions Judge on 6-1-1981. Appointed Additional Judge of the Delhi High Court for a period of two years with effect from 12th August, 1983. Appointed Permanent Judge on 23-2-1984. Retired on 8-11-88.",08.11.1926,,,,23.02.1984,08.11.1988,Formal Retirement,M,M,1697,SERVICE,,Law (not given),,B. A.,,,,,,JAGDISH CHANDRA,http://delhihighcourt.nic.in/writereaddata/upload/Judges/JImage_W7B5W0WZ.JPG,
Justice Jagjit Singh,Delhi High Court,Judge,"Justice Jagjit Singh, M.A., LL.B. - Born, 13.8.1913. Passed M.A. English, M.A. (Political Science) and LL.B. from the Punjab University securing First Class First in both the LL.B. and Previous Examination of Law. Started as Sub-Judge on 6.11.1938. Promoted on 4.6.1946 as Distt. & Sessions Judge. For certain period Registrar, High Court at Patiala, Registrar, Judicial Committee, Pepsu, and Legal Remembrancer and Secy. to Govt. Law and Legislative Deptt., Punjab. Promoted to super time Selection Grade for Distt. & Sessions Judge from 21.10.1962. Appointed Judge of Delhi High Court on 4.1.1967 (A.N.). Retired on 13.8.1975.",13.08.1913,,,,04.01.1967,13.08.1975,Formal Retirement,,M,1734,SERVICE,,"Punjab University, Department of Laws, Chandigarh",,,"M.A. (Enlgish), M.A. (Political Science)","Punjab University, Chandigarh",,,,JAGJIT SINGH,http://delhihighcourt.nic.in/writereaddata/upload/Judges/JImage_Y7XTQ4JX.JPG,
Justice Jagneswar Dash,Odisha High Court,Judge,Judge of Orissa High Court : 20.3.1989 - 22.1.1990,,,,,20.03.1989,22.01.1990,,M,M,3050,,,Law (not given),,,,,,,,JAGNESWAR DASH,,
"Justice Jainarayan Patel,Former Chief Justice",Bombay High Court,Additional Judge,"The Hon'ble Justice Jainarayan Patel Former Chief Justice Time Period:26-Jun-2010 to 04-Oct-2012 M.A.,LL.B. - Born on 05-10-1950. He was enrolled as an Advocate on 27-08-1974. He practised for 12 years in Civil, Criminal and Constitutional matters in the District and the High Court Bench at Nagpur. He was contributory teacher in University College of Law. He was appointed as a Judge of the City Civil Court on 20-04-1987. He was appointed as Designated Judge to try cases under TADA P Act 1987 at Mumbai from 1992-1993. In 1993 appointed Designated Judge of the Special Court constituted to try Bombay Bomb Blast case. He was appointed as an Additional Judge of the Bombay High Court on 11-03-1996 and permanent Judge on 07-01-1997. Assumed office of the Chief Justice of the High Court at Calcutta w.e.f. 26.06.2010.",05.10.1950,,,,11.03.1996,07.01.1997,Transfer or Promotion,,M,4216,SERVICE,1974,Law (not given),,,M.A.,,,,,"JAINARAYAN PATEL,FORMER",https://www.calcuttahighcourt.gov.in/Judge-Photo/179,
"Justice Jainarayan Patel,Former Chief Justice",Bombay High Court,Judge,"The Hon'ble Justice Jainarayan Patel Former Chief Justice Time Period:26-Jun-2010 to 04-Oct-2012 M.A.,LL.B. - Born on 05-10-1950. He was enrolled as an Advocate on 27-08-1974. He practised for 12 years in Civil, Criminal and Constitutional matters in the District and the High Court Bench at Nagpur. He was contributory teacher in University College of Law. He was appointed as a Judge of the City Civil Court on 20-04-1987. He was appointed as Designated Judge to try cases under TADA P Act 1987 at Mumbai from 1992-1993. In 1993 appointed Designated Judge of the Special Court constituted to try Bombay Bomb Blast case. He was appointed as an Additional Judge of the Bombay High Court on 11-03-1996 and permanent Judge on 07-01-1997. Assumed office of the Chief Justice of the High Court at Calcutta w.e.f. 26.06.2010.",05.10.1950,,,,07.01.1997,26.06.2010,Transfer or Promotion,,M,4216,SERVICE,1974,Law (not given),,,M.A.,,,,,"JAINARAYAN PATEL,FORMER",https://www.calcuttahighcourt.gov.in/Judge-Photo/179,
"Justice Jainarayan Patel,Former Chief Justice",Calcutta High Court,Chief Justice,"The Hon'ble Justice Jainarayan Patel Former Chief Justice Time Period:26-Jun-2010 to 04-Oct-2012 M.A.,LL.B. - Born on 05-10-1950. He was enrolled as an Advocate on 27-08-1974. He practised for 12 years in Civil, Criminal and Constitutional matters in the District and the High Court Bench at Nagpur. He was contributory teacher in University College of Law. He was appointed as a Judge of the City Civil Court on 20-04-1987. He was appointed as Designated Judge to try cases under TADA P Act 1987 at Mumbai from 1992-1993. In 1993 appointed Designated Judge of the Special Court constituted to try Bombay Bomb Blast case. He was appointed as an Additional Judge of the Bombay High Court on 11-03-1996 and permanent Judge on 07-01-1997. Assumed office of the Chief Justice of the High Court at Calcutta w.e.f. 26.06.2010.",05.10.1950,,,,26.06.2010,04.10.2012,,,M,4216,SERVICE,1974,Law (not given),,,M.A.,,,,,"JAINARAYAN PATEL,FORMER",https://www.calcuttahighcourt.gov.in/Judge-Photo/179,
Justice Jasmeet Singh,Delhi High Court,Judge,"Born on 26th February 1968 at Delhi. Did his schooling from St. Xavier's School, New Delhi. He received his B.Com (Hons.) from Hindu College of Delhi University. Attended Campus Law Centre, University of Delhi and received his LL.B. in 1992, and enrolled as an Advocate with Bar Council of Delhi in the same year. Thereafter, practiced law primarily on the Civil side in Delhi High Court, the subordinate Courts and Tribunals such as Debt Recovery Tribunal, Industrial Tribunal, National Consumer Disputes Redressal Commission, National Commission for Minority Educational Institutions and Delhi School Tribunal. Appointed as Standing Counsel for Delhi Sikh Gurudwara Management Committee DSGMC in Delhi High Court in 2013. Appointed as Central Government Standing Counsel in Delhi High Court in 2014. Appointed as Judge of Delhi High Court on 24th February, 2021",26.02.1968,,,,24.02.2021,,,,M,1770,BAR,1992,"Faculty of Law, University of Delhi","Hindu College, Delhi University",B. Com. . (Hons.),,,,,,JASMEET SINGH,http://delhihighcourt.nic.in/writereaddata/upload/Judges/JImage_FVHAEH8CPKB.JPG,
Justice Jaspal Singh,Delhi High Court,Judge,"Justice Jaspal Singh, B.A., LL.B. - Born on 17.7.1936. Joined Punjab Civil Service Judicial in March, 1964 and was absorbed in Delhi Judicial Service in 1971. Promoted as Additional District &Session Judge in June, 1976. Worked as District & Sessions Judge Delhi, since april, 1989. Appointed Judge in the Delhi High Court on 13.7.90. Retired on 17.7.1998.",17.07.1936,,,,13.07.1990,17.07.1998,Formal Retirement,M,M,1675,SERVICE,,Law (not given),,B. A.,,,,,,JASPAL SINGH,http://delhihighcourt.nic.in/writereaddata/upload/Judges/JImage_D8QJQ9T5.JPG,
Justice Jaya Krishna Misra,Odisha High Court,Judge,Judge of Orissa High Court : 10.11.1959 - 10.11.1961,,,,,10.11.1959,10.11.1961,,M,M,3026,,,Law (not given),,,,,,,,JAYA KRISHNA MISRA,,
Justice Jayant Nath,Delhi High Court,Additional Judge,"Born on 10th November, 1959. Did his schooling from Delhi Public School, Mathura Road, New Delhi. Thereafter, did B.A.(Hon.) Economics from St. Stephen's College, Delhi University and LL.B. from Faculty of Law Delhi University in 1982. Practised as an Advocate in Supreme Court of India, Delhi High Court, various Tribunals including Central Administrative Tribunal (Principal Bench), New Delhi, National Consumer Disputes Redressal Commission etc. Has been Standing Counsel for DESU/DVB from 1995 to 2002. Represented various Public Sector Undertakings, Banks etc. Was trained as Mediator by the Delhi High Court Mediation and Conciliation Centre and conducted various mediations therein. Conducted cases relating to various laws e.g. Service, Labour, Arbitration, Constitution and Administrative Law. Was designated as Senior Advocate by the High Court of Delhi in May, 2006. Appointed as Additional Judge of Delhi High Court on 17th April, 2013 and became permanent Judge on 18.03.2015(F/N). Retired on 09.11.2021",10.11.1959,,,,17.04.2013,18.03.2015,Transfer or Promotion,,M,1557,BAR,,"Faculty of Law, University of Delhi","St Stephen's College, Delhi University",B. A. Economics,,,,,,JAYANT NATH,http://delhihighcourt.nic.in/writereaddata/upload/Judges/JImage_4YQ64A40.JPG,
